"time","tweet","time2","tweet2","class","cosine","dice","jaccard","manhattan","overlap","cosine_tfidf","dice_tfidf","manhattan_tfidf","lcs"
"2016-07-06 10:54:14","10.54: RT @fauzan_ramon89: Jl KHA Dahlan, Jogja lalin lancar. #IdulFitri https://t.co/cWwVsks32w","2016-07-06 10:40:51","Jl KHA Dahlan Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/ld3CBK2TqQ","similar",0.790569415042095,0.769230769230769,0.625,0.926829268292683,1,0.798266641597975,0.778424258867834,0.963368869444543,0.828571428571429
"2016-07-06 10:57:18","RT @RadioElshinta: 10.54: RT @fauzan_ramon89: Jl KHA Dahlan, Jogja lalin lancar. #IdulFitri https://t.co/cWwVsks32w","2016-07-06 10:40:51","Jl KHA Dahlan Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/ld3CBK2TqQ","similar",0.790569415042095,0.769230769230769,0.625,0.926829268292683,1,0.798266641597975,0.778424258867834,0.963368869444543,0.828571428571429
"2016-07-06 10:57:36","10.57: RT @fauzan_ramon89: Jl Cokroaminoto, Jogja lalin lancar. #InfoMudik #IdulFitri  https://t.co/LYwxqqWIDW","2016-07-06 10:43:37","Jl Cokroaminoto lalin lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/aCtQafyAG7","similar",0.755928946018454,0.727272727272727,0.571428571428571,0.926829268292683,1,0.673318528783778,0.623876416874894,0.959673783883569,0.837837837837838
"2016-07-06 10:58:02","RT @RadioElshinta: 10.55: RT @fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/oQU8jj0dYV","2016-07-06 10:55:59","10.55: RT @fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/oQU8jj0dYV","similar",1,1,1,1,1,1,1,1,1
"2016-07-06 11:00:13","10.59: RT @fauzan_ramon89: Jl Kyai Mojo, Jogja lalin lancar. #InfoMudik https://t.co/qnTCkFlyxN","2016-07-06 10:47:37","Jl Kyai Mojo Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @mudikkompas @MudikTvone @SCTV_ @ATCS_DIY https://t.co/gf02UXHKCV","similar",0.790569415042095,0.769230769230769,0.625,0.926829268292683,1,0.772807996563405,0.747833908832704,0.959673783883569,0.823529411764706
"2016-07-06 11:01:47","#CelotehJKT : 10.54: RT fauzan_ramon89: Jl KHA Dahlan, Jogja lalin lancar. #IdulFitri https://t.co/GMbgjygV4y","2016-07-06 10:40:51","Jl KHA Dahlan Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/ld3CBK2TqQ","similar",0.707106781186547,0.666666666666667,0.5,0.878048780487805,1,0.703385126149458,0.661984178331485,0.934642599106166,0.682352941176471
"2016-07-06 11:01:49","#CelotehJKT : 10.55: RT fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/X98oUifm0O","2016-07-06 10:55:59","10.55: RT @fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/oQU8jj0dYV","similar",0.894427190999916,0.888888888888889,0.8,0.951219512195122,1,0.857335218332171,0.847277978403325,0.971273729661623,0.867256637168142
"2016-07-06 11:01:51","#CelotehJKT : 10.57: RT fauzan_ramon89: Jl Cokroaminoto, Jogja lalin lancar. #InfoMudik #IdulFitri  https://t.co/uDuyzlG8OW","2016-07-06 10:43:37","Jl Cokroaminoto lalin lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/aCtQafyAG7","similar",0.666666666666667,0.615384615384615,0.444444444444444,0.878048780487805,1,0.582291892328769,0.506419239695994,0.930947513545192,0.696629213483146
"2016-07-06 11:01:53","#CelotehJKT : 10.59: RT fauzan_ramon89: Jl Kyai Mojo, Jogja lalin lancar. #InfoMudik https://t.co/0SmG1CGNW3","2016-07-06 10:47:37","Jl Kyai Mojo Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @mudikkompas @MudikTvone @SCTV_ @ATCS_DIY https://t.co/gf02UXHKCV","similar",0.707106781186547,0.666666666666667,0.5,0.878048780487805,1,0.691672489172945,0.64719605921896,0.930947513545192,0.674698795180723
"2016-07-06 11:05:43","RT @RadioElshinta: 10.57: RT @fauzan_ramon89: Jl Cokroaminoto, Jogja lalin lancar. #InfoMudik #IdulFitri  https://t.co/LYwxqqWIDW","2016-07-06 10:43:37","Jl Cokroaminoto lalin lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/aCtQafyAG7","similar",0.755928946018454,0.727272727272727,0.571428571428571,0.926829268292683,1,0.673318528783778,0.623876416874894,0.959673783883569,0.837837837837838
"2016-07-06 11:06:33","#Lalin 10.54: RT fauzan_ramon89: Jl KHA Dahlan, Jogja lalin lancar. #IdulFitri https://t.co/zqhiDn4Zgg","2016-07-06 10:40:51","Jl KHA Dahlan Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/ld3CBK2TqQ","similar",0.707106781186547,0.666666666666667,0.5,0.878048780487805,1,0.703385126149458,0.661984178331485,0.934642599106166,0.682352941176471
"2016-07-06 11:06:34","#Lalin 10.55: RT fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/jgsNxCoLa4","2016-07-06 10:55:59","10.55: RT @fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/oQU8jj0dYV","similar",0.894427190999916,0.888888888888889,0.8,0.951219512195122,1,0.857335218332171,0.847277978403325,0.971273729661623,0.867256637168142
"2016-07-06 11:06:35","#Lalin 10.57: RT fauzan_ramon89: Jl Cokroaminoto, Jogja lalin lancar. #InfoMudik #IdulFitri  https://t.co/lZq8XvoASr","2016-07-06 10:43:37","Jl Cokroaminoto lalin lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/aCtQafyAG7","similar",0.666666666666667,0.615384615384615,0.444444444444444,0.878048780487805,1,0.582291892328769,0.506419239695994,0.930947513545192,0.696629213483146
"2016-07-06 11:06:36","#Lalin 10.59: RT fauzan_ramon89: Jl Kyai Mojo, Jogja lalin lancar. #InfoMudik https://t.co/Sk4iRv0C7R","2016-07-06 10:47:37","Jl Kyai Mojo Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @mudikkompas @MudikTvone @SCTV_ @ATCS_DIY https://t.co/gf02UXHKCV","similar",0.707106781186547,0.666666666666667,0.5,0.878048780487805,1,0.691672489172945,0.64719605921896,0.930947513545192,0.674698795180723
"2016-07-06 11:07:17","11.07: RT @fauzan_ramon89: Per3an Jatikencana, Jogja lalin lancar. #InfoMudik https://t.co/oQU8jj0dYV","2016-07-06 10:55:59","10.55: RT @fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/oQU8jj0dYV","similar",0.668153104781061,0.666666666666667,0.5,0.878048780487805,0.714285714285714,0.54100790960325,0.538252859584486,0.928806215449542,0.778947368421053
"2016-07-06 11:10:02","RadioElshinta : 10.55: RT fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. … https://t.co/DXHJ3MyqxX) https://t.co/id09uyvkSq","2016-07-06 10:55:59","10.55: RT @fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/oQU8jj0dYV","similar",0.852802865422442,0.842105263157895,0.727272727272727,0.926829268292683,1,0.725413272400748,0.684920763582315,0.941057063486142,0.771653543307087
"2016-07-06 11:15:12","RT @CelotehSMG: #Lalin 10.55: RT fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/jgsNxCoLa4","2016-07-06 10:55:59","10.55: RT @fauzan_ramon89: Lalin di Pertigaan Jatikencana, Jogja lancar. https://t.co/oQU8jj0dYV","similar",0.894427190999916,0.888888888888889,0.8,0.951219512195122,1,0.857335218332171,0.847277978403325,0.971273729661623,0.867256637168142
"2016-07-06 11:15:12","RT @CelotehSMG: #Lalin 10.54: RT fauzan_ramon89: Jl KHA Dahlan, Jogja lalin lancar. #IdulFitri https://t.co/zqhiDn4Zgg","2016-07-06 10:40:51","Jl KHA Dahlan Lalin Lancar @peta_mudik @RadioElshinta @SindotrijayaFM @SCTV_ @mudikkompas @MudikTvone @ATCS_DIY https://t.co/ld3CBK2TqQ","similar",0.707106781186547,0.666666666666667,0.5,0.878048780487805,1,0.703385126149458,0.661984178331485,0.934642599106166,0.682352941176471
"2016-07-06 11:15:12","RT @CelotehSMG: #Lalin 10.50: RT fauzan_ramon89: Situasi Jl Bayangkara arah KM 0 Jogja. #InfoMudik #IdulFitri https://t.co/CS8rktOUfx","2016-07-06 11:06:31","#Lalin 10.50: RT fauzan_ramon89: Situasi Jl Bayangkara arah KM 0 Jogja. #InfoMudik #IdulFitri https://t.co/CS8rktOUfx","similar",1,1,1,1,1,1,1,1,1
